"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"57126"	7.25098401638771	4.95265777626154	23.7731216631124	6.3153323508315e-34	3.45290796281712e-29	65.6703056825538
"7100"	4.01211242919504	6.39776118949231	20.4782369460364	3.53067898177047e-30	9.65199366641502e-26	57.6125120908392
"3250"	5.61998710157802	5.23184825969231	17.7089569834275	1.14061822842009e-26	1.24726603277737e-22	49.936664487564
"3240"	5.3461156036578	5.36966802097692	16.6098251101534	6.47001647030608e-24	3.54059967022179e-20	46.5559820442727
"199675"	5.22154433071513	7.56196064369231	16.3639592021875	7.87027200584341e-25	5.3788390239936e-21	45.8739202141861
"8876"	3.79886614865957	4.65604478904615	13.7919263565671	4.79111893467356e-21	1.09147678230532e-17	37.443229987833
"11213"	3.21976733278782	4.46915243712308	13.3649800793482	1.49292494351072e-19	1.82408258746378e-16	35.9228783082984
"4317"	6.20780389139244	4.54587710536923	13.2867286771408	2.92846999090322e-20	5.32088019311556e-17	35.682120168666
"2040"	2.36633135172932	8.8491995521	13.0864385260411	1.6696420849339e-18	1.49760757841129e-15	34.8958328719304
"27284"	2.84382324085934	5.00801401316923	13.0481326700733	6.9642917340682e-20	1.02911527178427e-16	34.8383539043712
"84418"	3.24799935577778	8.94217278344615	12.7295017042112	2.23985768094922e-19	2.98693216355851e-16	33.6996077122141
"2992"	2.99432410507742	8.6709175786	12.5095898153831	1.12473116386671e-18	1.08834046977651e-15	32.8959997191518
"83853"	2.52310559924468	4.7039543192	12.3124507433089	1.05358961570744e-18	1.10778869690008e-15	32.188693142837
"3772"	3.0728310729279	4.88208185070769	12.1609958088256	1.85869107802542e-18	1.81471311948285e-15	31.6343342197653
"399972"	2.56854496770686	4.53032163657692	11.9462406054998	3.37513804283092e-17	1.87676908971335e-14	30.8095590915331
"6272"	2.70381034956028	3.98440131652308	11.9099020362765	4.79327155505525e-18	4.09487691051009e-15	30.7087315673686
"64778"	1.37076104994563	2.86466426495385	11.8401645144459	6.24440080279452e-18	5.172918392315e-15	30.4502262053481
"6788"	2.42683682210875	5.77133244041538	11.8267005178402	6.57197005901871e-18	5.36302183547534e-15	30.4002462511672
"23095"	2.63019689775296	4.94962345253077	11.7331586125962	1.84746509355102e-16	6.65790690564892e-14	29.9958372736964
"222487"	3.13479686730378	5.56520024210769	11.6651708765648	1.21570293248133e-17	9.09844370966762e-15	29.7988452291124
"1647"	3.15646543902009	5.88519936027692	11.6176455914512	1.45774226364745e-17	1.03509166577824e-14	29.6212778933064
"51108"	2.02934953280339	8.27647151776923	11.6057435194124	2.86537060691169e-16	9.95145816716032e-14	29.487858016147
"966"	2.73489712585697	6.00774637769231	11.5953569885857	1.58745630426616e-17	1.10985707758847e-14	29.5379047405936
"1824"	3.28648198900709	3.67106654030769	11.3843969123099	3.56747307990995e-17	2.32204274576281e-14	28.7457474331181
"7850"	5.24111909896572	6.80182508838462	11.3740641693601	3.71229775294121e-17	2.36011487955884e-14	28.7068079612997
"23200"	2.44196900733865	5.19153969900769	11.3181996227291	5.21997343356549e-16	1.58364572819695e-13	28.4576882413902
"306"	4.65528024507802	7.56917962466154	11.3100515445615	4.75145982915553e-17	2.82516725005011e-14	28.465284906451
"383"	5.42468063145508	5.97847696427692	11.3099225869321	4.75382509382002e-17	2.82516725005011e-14	28.4647978429445
"23001"	2.18491864854255	3.47100156693846	11.267476788229	5.60052493666262e-17	3.25753937140456e-14	28.3043745052329
"1602"	2.57353802080851	3.30429356549231	11.2149094775222	6.86298679816066e-17	3.71896002642575e-14	28.1053978460986
"444"	2.60760589096021	4.20015943608205	11.1283581165421	9.93106372843225e-17	4.9647126862065e-14	27.7768053917906
"8522"	2.40568848061732	5.16959247787308	10.9727194218168	4.81764261744672e-16	1.57551883193878e-13	27.1673037838525
"30061"	1.44666387684988	5.29327264792308	10.9532351996434	1.89670125761353e-16	8.22428793863794e-14	27.1100625645508
"7378"	2.13087059546336	7.22659618424615	10.9336598555867	2.04719243384913e-16	8.52335760482914e-14	27.0352835740043
"55129"	1.4895150921253	3.76345386775385	10.9304052698622	2.07335447908967e-16	8.52335760482914e-14	27.0228466031912
"53831"	3.72078112834043	3.69169177227692	10.9042010916442	2.29665033102346e-16	9.24608370736448e-14	26.9226666622848
"56729"	4.22786874422695	4.21946052258462	10.8673020032046	2.65278127056207e-16	1.03052723167254e-13	26.7814668860821
"1432"	2.56277807600236	7.09536636633077	10.8547985546207	3.8797824042489e-16	1.35032706675296e-13	26.7308772368728
"762"	3.33804230761761	5.22823720824615	10.8435568926054	3.10460607687946e-16	1.16348577935204e-13	26.6900389284034
"51100"	1.87103814699291	8.42376886054615	10.8103417335409	3.75444057233887e-16	1.34200533212901e-13	26.5622542411588
"8993"	3.4718810081643	4.90646953693846	10.7523275385052	4.16091440245598e-16	1.47463579822117e-13	26.3405150292572
"2887"	2.92202723860875	4.51489617921538	10.7031485736659	5.04654310467604e-16	1.75745060030677e-13	26.1514527124349
"3267"	1.75667846618676	7.88227141372308	10.6994292342636	5.12078566510022e-16	1.77201871037566e-13	26.1371433120969
"249"	3.66077308249645	5.57430249009231	10.6943881679723	5.22317014453863e-16	1.79608067706069e-13	26.1177464055054
"5209"	2.64314684596809	8.16053200987692	10.6848787231597	5.42195333903473e-16	1.82674811070482e-13	26.0811485583382
"338339"	3.45430321951655	4.07128487704615	10.6526940310358	6.15302202781316e-16	2.00247904387312e-13	25.9572096463715
"51043"	1.69283193456619	4.75663994052308	10.6078636947529	7.33978503274311e-16	2.31966905586838e-13	25.7843857365553
