"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"1880"	-2.12263454315248	8.41857601044615	-12.9762629104403	9.05365098833605e-20	1.30265359944019e-16	34.5826905718295
"28516"	-3.93278055986171	7.28087638186154	-12.8541858292865	1.41587625936374e-19	1.93532586201782e-16	34.146833375972
"51466"	-2.15828083939244	9.31183553626154	-12.6706951094425	2.78269544040586e-19	3.45781530009523e-16	33.4879559807083
"79961"	-1.80218303905319	8.5720117342	-12.5323569226972	4.64425563055984e-19	5.40265269363531e-16	32.9882480042697
"2534"	-2.10023161170449	6.45808546998462	-12.460628523207	6.0627164435295e-19	6.90581294895783e-16	32.7281513893411
"133746"	-2.16291081914657	7.17454197455385	-12.3757531321729	8.31754133456329e-19	9.28084841769894e-16	32.4195057235561
"27040"	-2.77026386668794	7.89667120116923	-12.3658307982267	8.63126979092597e-19	9.43829351637754e-16	32.3833617402754
"50809"	-1.18223984741016	10.7109659208154	-12.3453271643435	9.31791819665523e-19	9.98935641964951e-16	32.3086324257816
"23360"	-1.8118827054208	7.25647639972308	-12.2217183172259	1.47984491759948e-18	1.52661360131607e-15	31.85695114491
"1786"	-1.67827357630024	5.58320020507692	-12.2082236277339	1.55667670083006e-18	1.57613515959044e-15	31.8075192291597
"125488"	-2.23171966780851	6.93628171756923	-12.173662088357	1.77231981731248e-18	1.761847018392e-15	31.6808100642326
"22889"	-1.3226208190331	8.32449301844615	-12.1287658888822	2.09811478847157e-18	2.00519979611879e-15	31.5159804913924
"100616113"	-1.11501966353546	10.3805158216462	-12.0949807976066	2.38259362012398e-18	2.17113843633798e-15	31.3917715015116
"27250"	-1.11501966353546	10.3805158216462	-12.0949807976066	2.38259362012398e-18	2.17113843633798e-15	31.3917715015116
"59338"	-2.05819808555556	6.50029676223077	-11.9744101566351	3.75503750959268e-18	3.31139799737064e-15	30.9473001894577
"3560"	-3.00951715328014	7.75566295030769	-11.9338161776468	4.37828489465689e-18	3.79972581929152e-15	30.7972346328025
"54941"	-2.17020758566667	7.36463994881538	-11.7683172685408	8.20523212911888e-18	6.59736862734669e-15	30.1832552243011
"22807"	-2.94176352245863	6.78501699646154	-11.7252335315581	9.66806351501596e-18	7.66088945918113e-15	30.0228515781144
